分析|方法说明|版本历史|目录
StatEdu Studio 1.3.0 公开版的分析范围与输出。|在原有方法论笔记基础上扩展估计原理、假设、公式、诊断和解释。|从首个版本至今的新增功能、变更与修复记录。
scope|1.3.0 公开范围|公开菜单提供 CFA、SEM、PLS-SEM 和中介与调节效应。公开安装包不包含元分析及同一对象内处理的重复测量方差分析。Pro 计划在后续版本提供。|本文以 1.3.0 为准。请区分现有混合重复测量分析与被排除的处理重复测量分析。开发记录并非当前功能清单。
data|数据准备|导入 SPSS、SAS、Stata、Excel、CSV 和 DAT 数据，检查变量名、标签、测量水平、类别及参考值。查看每项分析实际使用的样本量及缺失值处理信息。|不要将数字类别代码误当作连续测量值。分析前确定缺失值处理及参考类别；比较结果时应考虑样本差异。
descriptive|频数、描述统计与交叉表|提供频数、百分比、位置与离散统计量及列联表。根据选项输出关联检验、效应量和相关诊断。|检查百分比的分母及缺失值处理。检查稀疏期望频数和独立性，区分统计显著性与关联强度。
group|组间比较与协方差分析|提供独立样本 t 检验、ANOVA、ANCOVA 和非参数组间比较。支持的选项包括根据方差选择方法、事后比较及效应量。|检查独立性、残差分布及方差。ANCOVA 需检查协变量与结果的关系及斜率是否适当。非参数检验并不总是仅比较中位数。
paired|配对与混合重复测量|提供配对、重复测量、混合重复测量 ANOVA 及配对非参数分析。输出所选设计的时间、组别效应与比较结果。|正确配对同一对象的观测。检查球形性等设计假设、校正、交互作用和多重比较。处理重复测量专用菜单不在公开安装包中。
correlation|相关、信度与评定者一致性|提供相关、量表信度和评定者一致性分析。根据变量类型及评定设计选择相关方法与一致性指标。|相关不代表因果或一致性。不能仅凭高内部一致性认定单维性。应注明 ICC 模型、单次或平均测量、绝对一致或一致性定义。
factor|探索性因子分析与 PCA|在 EFA 和 PCA 中检查因子或成分数量、提取、旋转、载荷及解释方差。CFA 单独说明。|区分 EFA 的潜因子建模与 PCA 的数据降维目的。结合理论、载荷、因子相关及诊断，不要夸大对同一数据中探索结构的验证。
ipa|重要性–表现分析（IPA）|打开分析 → IPA，选择直接评分或推导重要性。直接评分按相同属性顺序分配重要性和表现变量；推导重要性指定表现和总体满意度。选择总体、独立组或配对前后设计。配对资料使用 WIDE 对应列或 LONG 的 ID、时间及两个时间值。设置参考线和图形，运行后检查样本数、坐标、区间和组/时间差异。Word/HWPX 在添加结果后从累积结果保存。|推导重要性是控制其他表现属性的 Pearson 偏相关。修订 IPA 对数变换要求正值，保留负偏相关符号。使用组内共同完整个案或时间间共同配对样本。均值差用 Welch 或配对 t 检验，差为第二−第一。对显示的直接评分有限 p 值做 Holm 校正，95%区间仍为逐项区间。推导重要性与差异使用百分位 bootstrap；有效重复须同时达到80%和50次才显示区间。偏相关差不附 t 检验 p 值。共同参考为按受访人数加权的坐标均值，不是合并样本偏相关。组间比较在 IPA 内设置；拆分文件会分别分析。
regression|回归与分层回归|提供 OLS、HC3 稳健推断与自助法回归。分层分析比较逐步加入的区块和解释方差变化。按选择输出 sr²、f²、共线性与残差诊断。 分层回归最多支持4个区块。每一步保留前面区块的变量，并加入下一个区块。|分层比较使用最终模型的共同完整个案。区分 OLS 变化检验、HC3 Wald 检验及自助法 ΔR² 区间。检查共线性、影响点和残差；注释仅解释已输出的指标。
mediation|中介与调节效应|在画布中指定自变量、因变量、中介、调节变量及协变量的角色和路径，估计直接、间接、总效应及条件效应。这不是选择模型编号的流程。不支持的路径结构会在运行前检查并提示。|通过自助法区间判断间接效应，通过交互作用与条件效应解释调节。观察数据的路径不能单独确立因果。检查有效重抽样数与警告；暂停推断并不意味着不显著。
generalized|逻辑回归、GLM 与惩罚回归|提供逻辑回归、广义线性模型、Ridge、LASSO 和 Elastic Net。结合结果尺度、分布族、连接函数及交叉验证设置报告系数与性能。|不要将 OR 解释为概率差。检查分布族、过度离散及连接函数。惩罚系数与普通 OLS 推断不同；训练数据上的性能不等于外部预测性能。
longitudinal|纵向、面板与复杂抽样|在支持的设计中提供 GEE、LMM、GLMM、固定或随机效应及复杂抽样分析。检查个体或群集标识、时间、权重、分层和群集设置。|不要将重复观测当作独立个案。区分总体平均效应与个体条件效应，注明相关或随机效应结构及抽样设计。结构方程菜单并不支持上述所有设计。
survival|生存分析|提供 Kaplan–Meier、对数秩、RMST、Cox 及支持的竞争风险分析。先检查输入格式与事件编码；不支持的组合限制运行。|注明时间起点、单位、删失及事件编码。检查 Cox 比例风险假设和 RMST 的限制时点。竞争风险 CIF、原因别 HR 与亚分布 SHR 是不同估计目标。
cfa|验证性因子分析（CFA）|提供 ML、MLR、适用于有序数据的 WLSMV/DWLS、载荷、拟合度、信度、AVE、HTMT 及支持的测量不变性比较。Normal/Wishart 选择仅适用于相应 ML 设置。|根据测量水平选择估计方法。先检查收敛、负方差、过高因子相关及局部失配。不要假定支持部分不变性约束自动释放或全自动题项打包。
sem|结构方程模型（SEM）|报告测量与结构路径、拟合度及支持的直接、间接和条件效应。自助法默认 5,000 次，结果反映 BC 或百分位区间等所选设置。|目前结构模型适用于独立横断面数据。不要将其解释为多层、复杂抽样或纵向 SEM。组间路径比较前检查测量不变性；调节模型的多组分析存在支持限制。
pls|PLS-SEM 与 PLSc|提供反映式 Mode A、形成式 Mode B、反映式 PLSc、路径与测量诊断及支持的预测和组间比较。缺失值通过 seminr::mean_replacement 用指标均值替代，每次自助重抽样重新计算均值。默认 5,000 次。|不要对形成式模型应用 PLSc。完整重抽样有效比例低于 80% 时限制自助法推断。区分效应推断与精确拟合度自助法，检查 MICOM/MGA、交叉验证的条件与警告。
planning|样本量、功效与效应量|计算支持检验的样本量、功效与效应量。同时记录显著性水平、假设效应、组别分配和检验方向。|效应假设应基于研究证据。不要将简单设计计算推广为群集、纵向或复杂结构模型的充分样本量。不能仅用观测功效解释不显著结果。
reporting|表格、图形与导出|公开版 1.3.0 提供 HTML、图像及 PDF、Word、Excel 保存。中介与调节效应/CFA/SEM/PLS-SEM 的 HTML 和 PDF 在末尾附上结果模型图。图像保留显示结果布局；Free 为 300 dpi，开发者与 Pro 为 600 dpi。 查看当前结果并添加到结果集中。支持 HTML、PDF、Word、Excel；HWPX 仅在韩语界面的累积结果页提供，直接生成而不经 Word 或 Hancom 转换。Word/HWPX 可选择主表、附录表、说明和图形，默认主表。保存使用已捕获的显示结果，不重新计算。Free 图像为300 dpi，开发者版为600 dpi。HTML 包含封面和表目录链接。|背景使用透明，不支持透明的格式使用白色。开启非显著路径显示时，有效 p ≥ .05 的路径为虚线，并与无 p 值路径区分。封面跟随 UI 语言；Free 显示徽标及 StatEdu, Institute of Statistics。导出后检查表格方向、换行、注释及成对残差图。
