Análisis|Notas metodológicas|Historial de versiones|Índice
Alcance y resultados de StatEdu Studio 1.3.0, edición pública.|Ampliación de las notas originales: principios de estimación, supuestos, fórmulas, diagnóstico e interpretación.|Funciones añadidas, cambios y correcciones desde la primera versión hasta la actual.
scope|Alcance público de 1.3.0|CFA, SEM, PLS-SEM y efectos de mediación/moderación están disponibles en los menús públicos. El instalador público excluye el metaanálisis y el ANOVA de tratamientos con medidas repetidas en los mismos sujetos. Pro se prevé para una versión posterior.|Este documento describe 1.3.0. Distinga el análisis mixto de medidas repetidas existente del análisis de tratamientos excluido. Los registros de desarrollo no son el catálogo actual de funciones.
data|Preparación de datos|Importe SPSS, SAS, Stata, Excel, CSV y DAT; revise nombres, etiquetas, niveles de medida, categorías y referencias. Consulte el tamaño muestral utilizado y el tratamiento de valores faltantes en cada análisis.|No confunda códigos numéricos de categorías con medidas continuas. Defina el tratamiento de valores faltantes y las categorías de referencia antes del análisis; considere las diferencias de muestra al comparar resultados.
descriptive|Frecuencias, descriptivos y tablas cruzadas|Obtenga frecuencias, porcentajes, estadísticas de posición y dispersión y tablas de contingencia. Las opciones seleccionadas ofrecen pruebas de asociación, tamaños del efecto y diagnósticos.|Revise los denominadores de los porcentajes y el tratamiento de valores faltantes. Examine frecuencias esperadas pequeñas e independencia; distinga significación estadística de intensidad de asociación.
group|Comparaciones de grupos y ANCOVA|Use pruebas t independientes, ANOVA, ANCOVA y comparaciones no paramétricas. Las opciones compatibles incluyen métodos según la varianza, comparaciones posteriores y tamaños del efecto.|Examine independencia, distribución residual y varianzas. ANCOVA requiere una relación covariable–resultado y pendientes apropiadas. Las pruebas no paramétricas no siempre comparan únicamente medianas.
paired|Medidas pareadas y repetidas mixtas|Use análisis pareados, de medidas repetidas, ANOVA mixto y análisis pareados no paramétricos. Consulte efectos de tiempo y grupo y comparaciones del diseño elegido.|Empareje correctamente las observaciones de cada persona. Revise supuestos específicos, incluida la esfericidad, correcciones, interacciones y comparaciones múltiples. El menú específico de tratamientos repetidos se excluye del instalador público.
correlation|Correlación, fiabilidad y concordancia|Analice correlaciones, fiabilidad de escalas y concordancia entre evaluadores. Elija métodos e índices adecuados al tipo de variable y al diseño de evaluación.|La correlación no establece causalidad ni concordancia. Una consistencia interna alta no demuestra unidimensionalidad. Especifique el modelo ICC, medidas individuales/promedio y concordancia/consistencia.
factor|Análisis factorial exploratorio y PCA|Examine el número de factores/componentes, extracción, rotación, cargas y varianza explicada en EFA y PCA. CFA se describe por separado.|Distinga el modelo de factores latentes de EFA de la reducción de datos de PCA. Considere teoría, cargas, correlaciones factoriales y diagnósticos; no exagere la confirmación de una estructura explorada con los mismos datos.
ipa|Análisis importancia–desempeño (IPA)|Abra Análisis → IPA y elija valoraciones directas o importancia derivada. Empareje importancia y desempeño en el mismo orden de atributos, o asigne desempeño y satisfacción global. Elija total, grupos independientes o pre/post pareado. Use columnas WIDE correspondientes o ID/tiempo LONG y dos valores temporales. Configure referencias y gráficos; revise tamaños, coordenadas, intervalos y diferencias. Word/HWPX se guardan desde resultados acumulados tras añadirlos.|La importancia derivada es correlación parcial de Pearson ajustada por los demás atributos. El logaritmo de IPA revisado requiere valores positivos y conserva signos negativos. Se usan casos completos comunes por grupo o pares comunes entre tiempos. Las diferencias, segundo menos primero, usan Welch o t pareada. Holm ajusta los p finitos mostrados de puntuaciones directas; los intervalos 95% son individuales. La importancia derivada y sus diferencias usan bootstrap percentil con al menos 80% y 50 réplicas válidas; no se asigna p de t a diferencias de correlaciones parciales. La referencia común es media de coordenadas ponderada por participantes, no correlación parcial conjunta. Defina los grupos dentro de IPA; dividir el archivo produce análisis separados.
regression|Regresión y regresión jerárquica|Use OLS, inferencia robusta HC3 y regresión bootstrap. El análisis jerárquico compara bloques sucesivos y cambios de varianza explicada. Los resultados seleccionados incluyen sr², f², colinealidad y diagnósticos residuales. La regresión jerárquica admite hasta cuatro bloques. Cada paso conserva las variables de los bloques anteriores y añade el siguiente bloque.|Las comparaciones jerárquicas usan los casos completos comunes del modelo final. Distinga pruebas de cambio OLS, pruebas Wald HC3 e intervalos bootstrap de ΔR². Revise colinealidad, observaciones influyentes y residuos; las notas explican solo estadísticas mostradas.
mediation|Efectos de mediación y moderación|Asigne predictor, resultado, mediador, moderador y covariables y dibuje rutas para estimar efectos directos, indirectos, totales y condicionales. No se selecciona un número de modelo. Las estructuras no compatibles se comprueban antes de ejecutar.|Evalúe efectos indirectos con intervalos bootstrap y moderación con interacciones y efectos condicionales. Las rutas observacionales no establecen causalidad por sí solas. Revise remuestras válidas y advertencias; una inferencia retenida no equivale a falta de significación.
generalized|Regresión logística, GLM y penalizada|Use modelos logísticos y lineales generalizados, Ridge, LASSO y Elastic Net. Informe coeficientes y rendimiento con la escala del resultado, familia, enlace y configuración de validación cruzada.|No interprete OR como diferencia de probabilidades. Revise familia, sobredispersión y enlace. Los coeficientes penalizados no tienen la inferencia OLS ordinaria; el rendimiento en datos de entrenamiento no es rendimiento predictivo externo.
longitudinal|Datos longitudinales, de panel y encuestas|Los diseños compatibles incluyen GEE, LMM, GLMM, efectos fijos/aleatorios y encuestas complejas. Revise identificadores de sujeto/conglomerado, tiempo, pesos, estratos y conglomerados según corresponda.|No trate medidas repetidas como casos independientes. Distinga efectos promedio poblacionales y condicionales al sujeto; especifique estructuras de correlación/efectos aleatorios y diseño. Los menús de ecuaciones estructurales no admiten todos estos diseños.
