menu_id,analysis,evidence_level,remaining,complete
frequencies,빈도/기술통계,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
crosstabs,교차표,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
ttest_anova,t 검정/분산분석,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
paired,대응표본,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
ancova,ANCOVA,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
one_group_rm_anova,일원 반복측정,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
mixed_rm_anova,혼합 반복측정,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
nonparametric,비모수 독립표본,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
nonparametric_paired,비모수 대응표본,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
correlation,상관,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
reliability,신뢰도,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
interrater_agreement,평가자 간 일치도,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
factor_analysis,요인분석,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
pca,주성분분석,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
hierarchical,회귀,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
custom_model_canvas,매개/조절 캔버스,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
generalized,GLM,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
penalized,릿지/라소/엘라스틱넷,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
logistic,로지스틱 회귀,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
survival_setup,생존분석 설정,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
survival_km,Kaplan–Meier,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
survival_cox,Cox 회귀,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
survival_competing,경쟁위험,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
longitudinal,종단/패널,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
complex_design,복합표본 설계,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
complex_frequencies,복합표본 빈도,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
complex_crosstabs,복합표본 교차표,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
complex_ttest_anova,복합표본 집단 비교,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
complex_correlation,복합표본 상관,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
complex_regression,복합표본 회귀,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
complex_logistic,복합표본 로지스틱,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
complex_custom_model,복합표본 사용자 모형,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
structural_cfa,CFA,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
structural_cbsem,공분산 SEM,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
structural_plssem,PLS-SEM,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
structural_automation,구조방정식 자동화,공통/설정/부분 fixture 검증 기록 있음,실제 결과·보조표·옵션·오류·저장 검증,아니오
meta,메타분석,대표 결과 검증 기록 있음,전체 옵션·경고·언어 왕복·저장 최종 확인,아니오
