x1;x2;x3;x4;x5;x6;x7;x8;x9
3.3333333;7.75;0.375;2.3333333;5.75;1.2857143;3.3913043;5.75;6.3611111
5.3333333;5.25;2.125;1.6666667;3;1.2857143;3.7826087;6.25;7.9166667
4.5;5.25;1.875;1;1.75;0.42857143;3.2608696;3.9;4.4166667
5.3333333;7.75;3;2.6666667;4.5;2.4285714;3;5.3;4.8611111
4.8333333;4.75;0.875;2.6666667;4;2.5714286;3.6956522;6.3;5.9166667
5.3333333;5;2.25;1;3;0.85714286;4.3478261;6.65;7.5
2.8333333;6;1;3.3333333;6;2.8571429;4.6956522;6.2;4.8611111
5.6666667;6.25;1.875;3.6666667;4.25;1.2857143;3.3913043;5.15;3.6666667
4.5;5.75;1.5;2.6666667;5.75;2.7142857;4.5217391;4.65;7.3611111
3.5;5.25;0.75;2.6666667;5;2.5714286;4.1304348;4.55;4.3611111
3.6666667;5.75;2;2;3.5;1.5714286;3.7391304;5.7;4.3055556
5.8333333;6;2.875;2.6666667;4.5;2.7142857;3.6956522;5.15;4.1388889
5.6666667;4.5;4.125;2.6666667;4;2.2857143;5.8695652;5.2;5.8611111
6;5.5;1.75;4.6666667;4;1.5714286;5.1304348;4.7;4.4444444
5.8333333;5.75;3.625;5;5.5;3;4;4.35;5.8611111
4.6666667;4.75;2.375;2.6666667;4.25;0.71428571;4.0869565;3.8;5.1388889
4.3333333;4.75;1.5;2;4;1.2857143;3.6956522;6.65;5.25
5;6.75;2.25;2;2.5;1.7142857;4;5.25;5.4444444
5.6666667;5.25;4;4.3333333;5.25;3.7142857;3.9130435;4.85;5.75
6.3333333;8.75;3;3.6666667;3.75;2.5714286;3.4782609;5.35;4.9166667
5.8333333;8;2;1.6666667;2.5;0.57142857;2.6086957;4.6;5.3888889
6.6666667;8.5;4.125;2;3.25;2.1428571;4.4782609;5.45;7
5;6.25;1.875;3.3333333;5.75;3.1428571;3.4782609;4.6;5
3.8333333;5.5;1.625;2.6666667;3;1;5.826087;5.3;6.7777778
5.6666667;5.5;1.25;2.3333333;3.75;1.2857143;4.6956522;4.6;4.1388889
5.3333333;4;3.375;1.6666667;3.5;1.4285714;5.7391304;6.25;4.3333333
5.5;5.25;4.5;2.6666667;2.25;0.71428571;4.1304348;5.1;4.5277778
6;5;2.125;1.6666667;3;1.1428571;2.826087;5.55;4.4166667
4.6666667;6;4.25;2;3;2;5.1304348;5.85;8.6111111
5;4.5;0.75;2.6666667;3.25;1.8571429;4.6521739;4.85;5.4444444
3.5;5.75;1.375;2;3.5;1.8571429;4.826087;6.95;5.9722222
3;6;0.25;1.6666667;3;1;2.0434783;3.65;3.3611111
5;5.25;1.75;2.6666667;5.25;2;2.6956522;4.3;4.8055556
4.1666667;6;2.375;3.3333333;4.25;1.8571429;5.3913043;4.35;5.6388889
3.3333333;3.75;1.5;1.3333333;3;0.85714286;2.7826087;5.2;4.8333333
4.8333333;5.25;0.5;1.6666667;4.75;1.4285714;3.1304348;3.75;4.9166667
5.5;7;3.5;2.6666667;4;2;3.826087;4;5.3055556
3.8333333;4.5;2.25;3;3;1.7142857;4.0869565;3.5;5.0833333
6.3333333;4;3.875;4;5.25;3.2857143;5.5217391;5.45;5.1111111
5.8333333;7.75;2.5;3;5.25;3.1428571;3.2173913;4.5;4.8888889
3.8333333;5.75;1.625;2.6666667;4.25;2.1428571;4.9130435;5.1;4.6388889
3.1666667;5;1.25;1.6666667;4.25;1.5714286;2.826087;5.3;4.7777778
1.8333333;5.25;1;1.6666667;3.75;0.57142857;3.9565217;4.75;2.7777778
4.1666667;5.25;1.875;2;3;1.4285714;3.9565217;5.6;6.6666667
6.3333333;5.5;2.75;4.6666667;5.5;2;5.3913043;5;6.8611111
6;5.5;4.5;3;4.25;1.2857143;4.826087;5;5
7.1666667;8.5;4;0.66666667;1;1;3.3478261;6.35;6.2777778
3.1666667;4.75;1.375;2.6666667;3.25;1.2857143;6.1304348;8;5.4444444
4.3333333;5.5;2.75;2;2.25;1;5.6521739;5.9;6.0555556
4.5;6.25;1.125;3.6666667;5.5;2.1428571;2.5652174;4.8;5.5277778
5.5;5.75;3.75;1.6666667;2.25;0.14285714;2.3478261;5.05;5.5
7;6;2.125;2.3333333;4.5;1.4285714;3.6521739;5.15;4.7777778
3.8333333;7.5;3.25;0.66666667;1.5;0.14285714;3.2608696;4.2;5.3888889
5.1666667;4.75;1.75;3.3333333;3.5;2.1428571;3.4782609;5.1;4.1944444
5;6;4.125;2;4.5;2.1428571;4.173913;4.8;4.4166667
5.6666667;5.25;2.125;2.6666667;4.5;1.4285714;4.0434783;5.7;5.5555556
4;4.75;3.25;1.6666667;3;1.7142857;4.173913;5.25;5.6388889
5.8333333;5.25;3.875;2.6666667;5.5;2.4285714;3.4347826;5.8;4.75
3.8333333;6.5;2;1;2.5;1.2857143;3.3913043;4.55;4.8333333
4.1666667;5.75;1.75;1.3333333;3;1;3.5217391;6.15;3.9444444
5.3333333;5.75;3.375;4;5.5;2.5714286;5.2608696;6.2;6.1388889
4;6;3.625;2.6666667;5;2.1428571;4.9130435;5.35;4.7777778
5.3333333;6.75;1.375;1.6666667;2.5;0.71428571;2.6521739;3.85;5.3333333
5.3333333;5;1.25;3.3333333;4.5;2.4285714;5.5217391;5.45;5.8333333
3.6666667;5.75;3.625;2.6666667;5;1.4285714;3.3043478;4.5;5.0277778
6.5;6;2.5;3.6666667;4.5;3;5.6956522;5.4;6.3055556
4;9.25;4;3;3.75;1;3.6086957;5.75;6.1944444
4.6666667;5.75;3.625;2.6666667;2.75;1.8571429;3.8695652;6.1;4.25
2.8333333;5;0.875;3;2.5;1.5714286;6.826087;5.7;3.9166667
4.6666667;5;0.75;4.3333333;4;2.7142857;4.7391304;5.95;5.4166667
0.66666667;4.5;0.75;2;3;1;3.6086957;5.5;4.6111111
4.3333333;9.25;3.375;1.3333333;2.25;1.1428571;3.7391304;5.75;5.1666667
