Phân tích|Ghi chú phương pháp|Lịch sử phiên bản|Mục lục
Phạm vi phân tích và đầu ra của StatEdu Studio 1.3.0 bản công khai.|Mở rộng ghi chú phương pháp gốc: nguyên lý ước lượng, giả định, công thức, chẩn đoán và diễn giải.|Các tính năng bổ sung, thay đổi và sửa lỗi từ phiên bản đầu tiên đến hiện tại.
scope|Phạm vi công khai của 1.3.0|CFA, SEM, PLS-SEM và hiệu ứng trung gian/điều tiết có trong menu công khai. Bộ cài công khai không gồm phân tích tổng hợp và ANOVA các can thiệp đo lặp trên cùng đối tượng. Pro được dự kiến cho phiên bản sau.|Tài liệu này mô tả 1.3.0. Phân biệt phân tích đo lặp hỗn hợp hiện có với phân tích can thiệp bị loại trừ. Hồ sơ phát triển không phải danh mục chức năng hiện tại.
data|Chuẩn bị dữ liệu|Nhập SPSS, SAS, Stata, Excel, CSV và DAT; kiểm tra tên, nhãn, mức đo, nhóm và giá trị tham chiếu. Xem cỡ mẫu thực dùng và cách xử lý dữ liệu thiếu của từng phân tích.|Không nhầm mã nhóm dạng số với số đo liên tục. Xác định cách xử lý thiếu và nhóm tham chiếu trước phân tích; cân nhắc khác biệt mẫu khi so sánh kết quả.
descriptive|Tần số, mô tả và bảng chéo|Xuất tần số, tỷ lệ phần trăm, thống kê vị trí và độ phân tán, bảng liên hợp. Các tùy chọn cung cấp kiểm định liên hệ, cỡ hiệu ứng và chẩn đoán.|Kiểm tra mẫu số của tỷ lệ và cách xử lý thiếu. Xem tần số kỳ vọng nhỏ và tính độc lập; phân biệt ý nghĩa thống kê với độ mạnh liên hệ.
group|So sánh nhóm và ANCOVA|Dùng kiểm định t độc lập, ANOVA, ANCOVA và so sánh nhóm phi tham số. Tùy chọn hỗ trợ phương pháp theo phương sai, so sánh hậu nghiệm và cỡ hiệu ứng.|Kiểm tra tính độc lập, phân phối phần dư và phương sai. ANCOVA cần quan hệ đồng biến–kết quả và độ dốc phù hợp. Kiểm định phi tham số không phải lúc nào cũng chỉ so sánh trung vị.
paired|Đo ghép cặp và đo lặp hỗn hợp|Dùng phân tích ghép cặp, đo lặp, ANOVA hỗn hợp và phân tích ghép cặp phi tham số. Xuất hiệu ứng thời gian, nhóm và so sánh theo thiết kế đã chọn.|Ghép đúng quan sát của cùng một người. Kiểm tra giả định theo thiết kế, gồm tính cầu, hiệu chỉnh, tương tác và so sánh nhiều lần. Menu riêng về can thiệp đo lặp không có trong bộ cài công khai.
correlation|Tương quan, độ tin cậy và đồng thuận|Phân tích tương quan, độ tin cậy thang đo và đồng thuận giữa người đánh giá. Chọn phương pháp và chỉ số phù hợp loại biến và thiết kế đánh giá.|Tương quan không chứng minh nhân quả hay đồng thuận. Nhất quán nội tại cao không tự chứng minh tính đơn hướng. Nêu mô hình ICC, phép đo đơn/trung bình và đồng thuận/nhất quán.
factor|Phân tích nhân tố khám phá và PCA|Xem số nhân tố/thành phần, trích xuất, xoay, tải và phương sai giải thích trong EFA và PCA. CFA được mô tả riêng.|Phân biệt mô hình nhân tố tiềm ẩn EFA với giảm chiều dữ liệu PCA. Kết hợp lý thuyết, tải, tương quan nhân tố và chẩn đoán; không phóng đại việc xác nhận cấu trúc được khám phá trên cùng dữ liệu.
ipa|Phân tích tầm quan trọng–mức thực hiện (IPA)|Mở Phân tích → IPA, chọn đánh giá trực tiếp hoặc tầm quan trọng suy ra. Ghép biến quan trọng và thực hiện theo cùng thứ tự thuộc tính, hoặc chọn thực hiện và hài lòng chung. Chọn toàn bộ, nhóm độc lập hoặc cặp trước/sau. Dùng cột WIDE tương ứng hoặc ID/thời gian LONG và hai giá trị thời gian. Chọn đường tham chiếu, biểu đồ; kiểm tra số mẫu, tọa độ, khoảng và chênh lệch. Lưu Word/HWPX từ kết quả tích lũy sau khi thêm.|Tầm quan trọng suy ra là tương quan riêng Pearson kiểm soát các thuộc tính thực hiện khác. Logarit IPA sửa đổi yêu cầu giá trị dương và giữ dấu âm. Dùng các trường hợp đầy đủ chung trong nhóm hoặc mẫu cặp chung qua thời điểm. Chênh lệch thứ hai trừ thứ nhất dùng Welch hoặc t cặp. Holm điều chỉnh p hữu hạn hiển thị của điểm trực tiếp; khoảng 95% vẫn riêng lẻ. Tầm quan trọng suy ra và chênh lệch dùng bootstrap phân vị, cần ít nhất 80% và 50 lần hợp lệ; không gán p kiểm định t cho chênh lệch tương quan riêng. Tham chiếu chung là trung bình tọa độ theo trọng số số người, không phải tương quan riêng mẫu gộp. Chọn nhóm trong IPA để so sánh; chia tệp tạo phân tích riêng.
regression|Hồi quy và hồi quy phân cấp|Dùng OLS, suy luận vững HC3 và hồi quy bootstrap. Phân tích phân cấp so sánh các khối liên tiếp và thay đổi phương sai giải thích. Đầu ra tùy chọn gồm sr², f², đa cộng tuyến và chẩn đoán phần dư. Hồi quy phân cấp hỗ trợ tối đa bốn khối. Mỗi bước giữ lại các biến từ những khối trước và thêm khối tiếp theo.|So sánh phân cấp dùng các trường hợp đầy đủ chung của mô hình cuối. Phân biệt kiểm định thay đổi OLS, Wald HC3 và khoảng bootstrap ΔR². Xem đa cộng tuyến, quan sát ảnh hưởng và phần dư; chú thích chỉ giải thích chỉ số được hiển thị.
