"Category","Method","Scenario","Unit","App_N","Reference","Reference_Raw_N","Reference_Rounded_N","Difference_vs_Rounded","Percent_Diff","Evidence","Verdict","Note"
"G*Power-comparable","t-test","two-sided, d=0.50, alpha=.05, power=.80, allocation 1:1","per group",64,"Means: Difference between two independent means",63.766,64,0,0,"G*Power-equivalent formula","match","G*Power reports fractional n; app rounds up."
"G*Power-comparable","Paired t-test","two-sided, dz=0.50, alpha=.05, power=.80","pairs",34,"Means: Difference between two dependent means",33.367,34,0,0,"G*Power-equivalent formula","match","G*Power reports fractional n; app rounds up."
"G*Power-comparable","One-sample t-test","two-sided, d=0.50, alpha=.05, power=.80","participants",34,"Means: Difference from constant",33.367,34,0,0,"G*Power-equivalent formula","match","G*Power reports fractional n; app rounds up."
"G*Power-comparable","ANOVA","3 groups, f=0.25, alpha=.05, power=.80","total N",159,"F tests: ANOVA fixed effects, omnibus, one-way",157.19,159,0,0,"G*Power-equivalent formula","match","G*Power/pwr returns per-group fractional n; G*Power-style rounded total is ceiling(per-group n) * groups."
"G*Power-comparable","Chi-square","df=3, w=0.30, alpha=.05, power=.80","total N",122,"Chi-square tests: Goodness-of-fit / contingency tables",121.14,122,0,0,"G*Power-equivalent formula","match","G*Power reports fractional N; app rounds up."
"G*Power-comparable","Correlation","two-sided, rho=0.30, alpha=.05, power=.80","participants",85,"Exact/Correlation: Bivariate normal model",84.074,85,0,0,"G*Power-equivalent formula","match","Both use Fisher-z style approximation; app rounds up."
"G*Power-comparable","Linear regression","overall R2-style f2=0.10, predictors=5","total N",134,"F tests: Linear multiple regression, R2 deviation from zero",133.92,134,0,0,"G*Power-equivalent formula","match","Matches G*Power omnibus multiple regression setup; app rounds up."
"G*Power-comparable","Two proportions","two-sided, p1=.50, p2=.65, alpha=.05, power=.80","per group",170,"z tests: Difference between two independent proportions",169.088,170,0,0,"G*Power-equivalent formula","match","Matches the G*Power-equivalent rounded per-group result under the app rounding rule."
"G*Power-comparable","One proportion","two-sided, p=.65 vs .50, alpha=.05, power=.80","participants",80,"z tests: Difference from constant",79.361,80,0,0,"G*Power-equivalent formula","match","G*Power z-test style normal approximation; app rounds up."
"G*Power-comparable","ANCOVA","2 groups, f=.25, covariates=1, covariate R2=.30","total N",90,"F tests: ANCOVA fixed effects",89.891,90,0,0,"G*Power-equivalent formula","match","ANCOVA noncentral F reference with lambda = adjusted f^2 * N and df2 = N - groups - covariates; app rounds to balanced groups."
"Non-G*Power / package-reference","GEE","continuous, two groups, d=.50, 3 repeated time points, exchangeable rho=.30","participants per group",103,"Independent t-test + repeated-measures design effect",101.435,103,0,0,"reference formula","match","App multiplies rounded independent two-sample n by DE=1+(m-1)rho, then rounds again. This is a planning approximation, not a full GEE package calculation."
"Non-G*Power / package-reference","LMM","two-group repeated slope/change, d=.50, 3 time points, ICC/correlation=.30, power=.95","participants per group",146,"longpower::diggle.linear.power",145.541,146,0,0,"package","match","App simple two-group LMM now uses longpower::diggle.linear.power; differences should be limited to rounding."
"Non-G*Power / package-reference","Survival / Cox","HR=.70, overall event probability=.40, allocation 1:1","total participants",618,"Schoenfeld event-based formula",616.968,618,0,0,"reference formula","match","App uses the Schoenfeld event-based approximation, then rounds allocation-specific group sizes and sums them."
"Non-G*Power / package-reference","Equivalence / TOST","two independent means, equivalence margin=.50 SD, true difference=0","participants per group",70,"TOSTER::power_t_TOST",69.198,70,0,0,"package","match","App mean equivalence now uses exact t-based TOSTER::power_t_TOST; differences should be limited to rounding."
"Non-G*Power / package-reference","Diagnostic accuracy","sensitivity=.80, specificity=.90, prevalence=.20, absolute precision=.05","total participants",1230,"epiR::epi.ssdxsesp",1230,1230,0,0,"package","match","epiR returns the maximum total N needed for sensitivity/specificity precision; this scenario is driven by sensitivity and matches the app sensitivity calculation."
"Non-G*Power / package-reference","ROC AUC","AUC=.70 vs null AUC=.50, case/control ratio=1","cases",28,"No direct installed package comparator",NA,NA,NA,NA,"not available","not directly comparable","App uses Hanley-McNeil AUC variance. Installed packages did not expose a direct one-AUC sample-size API for this scenario."
"Non-G*Power / package-reference","Count / rates","two Poisson rates, rate1=1.0, rate2=1.5, allocation 1:1","person-time per group",79,"Wald two-rate formula",78.489,79,0,0,"reference formula","match","This is the same Wald rate approximation implemented by the app."
"Non-G*Power / package-reference","Cluster trial","parallel CRT, continuous d=.50, cluster size=20, ICC=.05","clusters total",16,"WebPower::wp.crt2arm",14.443,16,0,0,"package","match","App continuous parallel CRT now uses WebPower::wp.crt2arm and rounds raw total clusters to balanced clusters per group."
"Non-G*Power / package-reference","Precision / CI","mean CI half-width=.20, SD=1, confidence=.95","participants",97,"Normal CI precision formula",96.036,97,0,0,"reference formula","match","This is the same normal-approximation CI half-width formula implemented by the app."
"Non-G*Power / package-reference","Reliability / agreement","ICC precision, expected ICC=.70, 3 raters, half-width=.10","subjects",36,"No direct installed package comparator",NA,NA,NA,NA,"not available","not directly comparable","ICC.Sample.Size targets ICC hypothesis-test power, while the app currently calculates CI-width precision."
"Non-G*Power / package-reference","SEM / CFA","RMSEA close-fit test, H0 RMSEA=.05, H1 RMSEA=.08, df=50","participants",214,"WebPower::wp.sem.rmsea",213.395,214,0,0,"package","match","Both use MacCallum-style noncentral chi-square/RMSEA power; app rounds up."
