Analyses|Method Notes|Version History|Contents
Analysis scope and output in StatEdu Studio 1.3.0 public release.|Estimation principles, assumptions, formulas, diagnostics and interpretation, expanded from the original Method Notes.|Additions, changes and fixes from the first release to the current version.
scope|Public scope in 1.3.0|CFA, SEM, PLS-SEM and Mediation/Moderation Effects are public analysis menus. Meta-analysis and within-subject treatment repeated-measures ANOVA are excluded from the public installer. Pro is planned for a later version.|This document describes 1.3.0. Distinguish existing mixed repeated-measures analysis from the excluded within-subject treatment analysis. Development records are not the current feature inventory.
data|Data preparation|Import SPSS, SAS, Stata, Excel, CSV and DAT data; check names, labels, measurement levels, categories and reference values. Inspect the sample size and missing-data information for each analysis.|Do not mistake numeric category codes for continuous measurements. Decide missing-data handling and reference categories before analysis; account for sample differences when comparing results.
descriptive|Frequencies, descriptives and crosstabs|Report counts, percentages, location and dispersion statistics and contingency tables. Selected options provide association tests, effect sizes and relevant diagnostics.|Check percentage denominators and treatment of missing values. Examine sparse expected frequencies and independence in crosstabs; distinguish statistical significance from association strength.
group|Group comparisons and ANCOVA|Use independent-samples t tests, ANOVA, ANCOVA and nonparametric group comparisons. Supported options provide variance-sensitive methods, post hoc comparisons and effect sizes.|Examine independence, residual distributions and variances. ANCOVA requires an appropriate covariate–outcome relationship and slopes. Nonparametric tests do not always compare medians alone.
paired|Paired and mixed repeated measures|Use paired, repeated-measures, mixed repeated-measures ANOVA and paired nonparametric analyses. Report time, group and comparison results for the selected design.|Match observations from the same person correctly. Check design-specific assumptions, including sphericity, corrections, interactions and multiple comparisons. The dedicated treatment repeated-measures menu is excluded from the public installer.
correlation|Correlation, reliability and agreement|Use correlation, scale reliability and inter-rater agreement analyses. Select correlation methods and agreement measures appropriate to the variable types and rating design.|Correlation does not establish causation or agreement. High internal consistency alone does not establish unidimensionality. Specify the ICC model, single/average measurements and agreement/consistency definition.
factor|Exploratory factor analysis and PCA|Inspect factor/component counts, extraction, rotation, loadings and explained variance in EFA and PCA. CFA is described separately.|Distinguish the latent-factor purpose of EFA from data reduction in PCA. Consider theory, loadings, factor correlations and diagnostics together; do not overstate confirmation of a structure explored in the same data.
ipa|Importance–performance analysis (IPA)|Open Analysis → IPA and choose direct ratings or derived importance. Pair importance and performance variables in the same attribute order for direct ratings; assign performance variables and overall satisfaction for derived importance. Choose overall, independent groups or matched pre/post. Paired data use corresponding WIDE columns or LONG ID/time variables with two time values. Set reference lines and chart options, run, then inspect sample counts, coordinates, intervals and group/time differences. Save Word/HWPX from collected Results after Add to Results.|Derived importance is a Pearson partial correlation controlling the other performance attributes. Revised IPA log transformation requires positive inputs and retains negative partial-correlation signs. Use common complete cases within groups or a common matched sample across times. Mean differences use Welch or paired t tests and are second minus first. Holm correction covers finite displayed direct-score p values; 95% intervals remain pointwise. Derived importance and differences use percentile bootstrap, requiring at least 80% and 50 valid replicates to display intervals. No t-test p value is attached to partial-correlation differences. The common reference is a respondent-weighted mean of coordinates, not a pooled-sample partial correlation. Split file runs separate analyses; specify groups inside IPA for comparisons.
regression|Regression and hierarchical regression|Use OLS, HC3 robust inference and bootstrap regression. Hierarchical analysis compares successive blocks and explained-variance changes. Selected output includes sr², f², collinearity and residual diagnostics. Hierarchical regression supports up to four blocks. Each step retains the variables from earlier blocks and adds the next block.|Hierarchical comparisons use common complete cases for the final model. Distinguish OLS change tests, HC3 Wald tests and bootstrap ΔR² intervals. Check collinearity, influential observations and residuals; notes explain only displayed statistics.
