Analyses|Notes méthodologiques|Historique des versions|Sommaire
Périmètre et résultats de StatEdu Studio 1.3.0, édition publique.|Développement des notes originales : principes d’estimation, hypothèses, formules, diagnostics et interprétation.|Ajouts, modifications et corrections depuis la première version jusqu’à la version actuelle.
scope|Périmètre public de 1.3.0|CFA, SEM, PLS-SEM et les effets de médiation/modération figurent dans les menus publics. L’installateur public exclut la méta-analyse et l’ANOVA des traitements à mesures répétées sur les mêmes sujets. Pro est prévu pour une version ultérieure.|Ce document décrit 1.3.0. Distinguez l’analyse mixte à mesures répétées existante de l’analyse des traitements exclue. Les archives de développement ne constituent pas le catalogue actuel des fonctions.
data|Préparation des données|Importez SPSS, SAS, Stata, Excel, CSV et DAT ; vérifiez noms, libellés, niveaux de mesure, catégories et références. Consultez l’effectif utilisé et le traitement des données manquantes de chaque analyse.|Ne confondez pas codes numériques de catégories et mesures continues. Fixez le traitement des valeurs manquantes et les catégories de référence avant l’analyse ; tenez compte des différences d’échantillon entre résultats.
descriptive|Fréquences, descriptifs et tableaux croisés|Affichez effectifs, pourcentages, statistiques de position et dispersion et tableaux de contingence. Les options choisies fournissent tests d’association, tailles d’effet et diagnostics.|Vérifiez les dénominateurs des pourcentages et les valeurs manquantes. Examinez les petits effectifs attendus et l’indépendance ; distinguez significativité et force de l’association.
group|Comparaisons de groupes et ANCOVA|Utilisez les tests t indépendants, ANOVA, ANCOVA et comparaisons non paramétriques. Les options disponibles incluent des méthodes adaptées aux variances, comparaisons post hoc et tailles d’effet.|Examinez indépendance, distribution des résidus et variances. L’ANCOVA exige une relation covariable–résultat et des pentes appropriées. Les tests non paramétriques ne comparent pas toujours les seules médianes.
paired|Mesures appariées et répétées mixtes|Utilisez les analyses appariées, à mesures répétées, l’ANOVA mixte et les analyses appariées non paramétriques. Consultez les effets de temps et de groupe et les comparaisons du plan choisi.|Appariez correctement les observations d’une même personne. Vérifiez les hypothèses propres au plan, dont la sphéricité, les corrections, interactions et comparaisons multiples. Le menu spécifique des traitements répétés est exclu de l’installateur public.
correlation|Corrélation, fidélité et accord|Analysez corrélations, fidélité des échelles et accord interévaluateurs. Choisissez méthodes et indices adaptés aux variables et au plan d’évaluation.|La corrélation n’établit ni causalité ni accord. Une cohérence interne élevée ne prouve pas l’unidimensionnalité. Précisez le modèle ICC, les mesures individuelles/moyennes et l’accord/la cohérence.
factor|Analyse factorielle exploratoire et PCA|Examinez nombre de facteurs/composantes, extraction, rotation, saturations et variance expliquée en EFA et PCA. La CFA fait l’objet d’une rubrique distincte.|Distinguez les facteurs latents de l’EFA de la réduction des données par PCA. Considérez théorie, saturations, corrélations factorielles et diagnostics ; ne surestimez pas la confirmation d’une structure explorée sur les mêmes données.
ipa|Analyse importance–performance (IPA)|Ouvrez Analyse → IPA et choisissez évaluations directes ou importance dérivée. Appariez importance et performance dans le même ordre, ou affectez performance et satisfaction globale. Choisissez ensemble, groupes indépendants ou avant/après apparié. Utilisez les colonnes WIDE correspondantes ou ID/temps LONG et deux valeurs temporelles. Réglez références et graphiques; vérifiez effectifs, coordonnées, intervalles et différences. Word/HWPX s’enregistrent depuis la collection après ajout.|L’importance dérivée est une corrélation partielle de Pearson ajustée sur les autres attributs. Le logarithme IPA révisé exige des valeurs positives et conserve les signes négatifs. Utilisez les cas complets communs par groupe ou les paires communes. Les différences, deuxième moins premier, utilisent Welch ou t apparié. Holm ajuste les p finis affichés des scores directs; les intervalles 95% restent individuels. Importance dérivée et différences utilisent un bootstrap percentile exigeant au moins 80% et 50 réplications valides; aucun p de t n’est attribué aux différences de corrélations partielles. La référence commune est une moyenne de coordonnées pondérée par les répondants, pas une corrélation partielle regroupée. Définissez les groupes dans IPA; segmenter le fichier produit des analyses séparées.
regression|Régression et régression hiérarchique|Utilisez OLS, l’inférence robuste HC3 et la régression bootstrap. L’analyse hiérarchique compare les blocs successifs et les variations de variance expliquée. Les sorties choisies incluent sr², f², colinéarité et diagnostics résiduels. La régression hiérarchique prend en charge jusqu’à quatre blocs. Chaque étape conserve les variables des blocs précédents et ajoute le bloc suivant.|Les comparaisons hiérarchiques utilisent les cas complets communs du modèle final. Distinguez tests de variation OLS, tests de Wald HC3 et intervalles bootstrap de ΔR². Examinez colinéarité, observations influentes et résidus ; les notes expliquent uniquement les statistiques affichées.
mediation|Effets de médiation et de modération|Définissez prédicteur, résultat, médiateur, modérateur et covariables, puis dessinez les chemins pour estimer les effets directs, indirects, totaux et conditionnels. Il ne s’agit pas de sélectionner un numéro de modèle. Les structures incompatibles sont vérifiées avant exécution.|Évaluez les effets indirects par intervalles bootstrap et la modération par interactions et effets conditionnels. Les chemins observationnels ne suffisent pas à établir la causalité. Vérifiez réplications valides et avertissements ; une inférence suspendue n’est pas une non-significativité.
generalized|Régression logistique, GLM et pénalisée|Utilisez modèles logistiques et linéaires généralisés, Ridge, LASSO et Elastic Net. Rapportez coefficients et performances avec échelle du résultat, famille, lien et validation croisée.|N’interprétez pas un OR comme une différence de probabilités. Vérifiez famille, surdispersion et lien. Les coefficients pénalisés n’ont pas l’inférence OLS ordinaire ; la performance sur l’entraînement n’est pas une performance prédictive externe.
longitudinal|Données longitudinales, de panel et d’enquête|Les plans compatibles comprennent GEE, LMM, GLMM, effets fixes/aléatoires et enquêtes complexes. Vérifiez identifiants individuels/de grappes, temps, poids, strates et grappes selon le cas.|Ne traitez pas les répétitions comme des cas indépendants. Distinguez effets moyens populationnels et conditionnels au sujet ; précisez structures de corrélation/effets aléatoires et plan. Les menus d’équations structurelles ne couvrent pas tous ces plans.
survival|Analyse de survie|Utilisez Kaplan–Meier, log-rank, RMST, Cox et les analyses compatibles de risques concurrents. Vérifiez format et codage des événements ; les combinaisons non prises en charge sont restreintes.|Précisez origine du temps, unités, censure et codes d’événement. Vérifiez les risques proportionnels de Cox et l’horizon RMST. CIF, HR par cause et SHR de sous-distribution sont des estimands distincts.
cfa|Analyse factorielle confirmatoire (CFA)|Utilisez ML, MLR et WLSMV/DWLS pour données ordinales ; examinez saturations, ajustement, fidélité, AVE, HTMT et comparaisons compatibles d’invariance de mesure. Normal/Wishart se limite aux réglages ML applicables.|Adaptez l’estimateur au niveau de mesure. Vérifiez convergence, variances négatives, fortes corrélations factorielles et défauts d’ajustement locaux. Ne supposez ni libération automatique des contraintes d’invariance partielle ni regroupement d’items entièrement automatique.
sem|Modèles d’équations structurelles (SEM)|Rapportez chemins de mesure/structurels, ajustement et effets directs, indirects et conditionnels compatibles. Le bootstrap utilise par défaut 5,000 réplications ; les résultats reflètent les intervalles BC ou percentiles et les options choisies.|Les modèles actuels couvrent des données transversales indépendantes. Ne les interprétez pas comme des SEM multiniveaux, longitudinaux ou d’enquêtes complexes. Examinez l’invariance avant les comparaisons de chemins entre groupes ; les modèles modérés multigroupes ont des restrictions.
pls|PLS-SEM et PLSc|Utilisez Mode A réflectif, Mode B formatif, PLSc réflectif, diagnostics de chemins/mesure et prédiction/comparaisons compatibles. Les valeurs manquantes sont remplacées par les moyennes des indicateurs via seminr::mean_replacement, recalculées à chaque réplication bootstrap. Le défaut est 5,000 réplications.|N’appliquez pas PLSc aux modèles formatifs. L’inférence bootstrap est restreinte si moins de 80% des réplications complètes sont valides. Distinguez inférence des effets et bootstrap d’ajustement exact ; vérifiez conditions et avertissements de MICOM/MGA et validation croisée.
planning|Effectif, puissance et taille d’effet|Calculez effectif, puissance et taille d’effet pour les tests compatibles. Consignez alpha, effet supposé, répartition des groupes et direction du test.|Fondez les hypothèses d’effet sur des données scientifiques. Ne généralisez pas les calculs de plans simples aux effectifs suffisants pour modèles en grappes, longitudinaux ou structurels complexes. La puissance observée seule n’explique pas un résultat non significatif.
reporting|Tableaux, figures et exportation|L’édition publique 1.3.0 exporte HTML/images et PDF/Word/Excel. Les rapports HTML/PDF de médiation/modération, CFA, SEM et PLS-SEM ajoutent la figure du modèle à la fin. Les images conservent la disposition affichée ; Free utilise 300 dpi et développement/Pro, 600 dpi. Examinez puis ajoutez les résultats à la collection. HTML, PDF, Word et Excel sont disponibles. HWPX apparaît uniquement dans les résultats cumulés en interface coréenne et est écrit directement, sans Word ni Hancom. Word/HWPX proposent tableaux principaux, annexes, explications et figures; les tableaux principaux sont présélectionnés. La capture est enregistrée sans recalcul. Free utilise 300 dpi, le développement 600 dpi. HTML inclut couverture et liste de tableaux avec liens.|Le fond est transparent, ou blanc si le format ne le permet pas. Les chemins avec p valide ≥ .05 sont en pointillés lorsque l’affichage de non-significativité est activé, contrairement aux chemins sans p. La couverture suit la langue de l’interface ; Free affiche le logo et StatEdu, Institute of Statistics. Vérifiez orientation, retours à la ligne, notes et graphiques résiduels appariés après exportation.
validation|Validation et limites du rapport|Les analyses générales, régressions, analyses longitudinales et de survie ont été comparées à SPSS ; CFA/SEM à AMOS ; PLS-SEM/PLSc et CB-SEM à SmartPLS. Ces validations cumulées sont intégrées à 1.3.0 ; la page Validation résume conditions et différences restantes.|L’accord sur certains indices ne prouve pas une équivalence universelle. Harmonisez données, codage, estimateur, valeurs manquantes et tolérances. Par exemple, 49 des 50 modèles AMOS comparables concordent ; 41 des 2,895 valeurs LMM de SPSS diffèrent encore. Les données sources détaillées et journaux internes ne sont pas inclus dans la documentation publique.
